Price,Close,High,Low,Open,Volume
Ticker,^RUT,^RUT,^RUT,^RUT,^RUT
Date,,,,,
2019-09-13,1578.1400146484375,1589.449951171875,1577.1099853515625,1579.22998046875,3557010000
2019-09-16,1584.5999755859375,1590.5,1570.5,1574.72998046875,4285860000
2019-09-17,1578.2900390625,1582.3699951171875,1569.4100341796875,1582.3699951171875,3673250000
2019-09-18,1568.3399658203125,1577.550048828125,1557.1500244140625,1577.550048828125,3458800000
2019-09-19,1561.469970703125,1581.3499755859375,1560.9200439453125,1570.760009765625,3265660000
2019-09-20,1559.760009765625,1570.02001953125,1554.25,1561.6300048828125,6103440000
2019-09-23,1558.25,1563.6400146484375,1552.449951171875,1556.9200439453125,3187250000
2019-09-24,1533.5899658203125,1562.6300048828125,1530.3299560546875,1559.47998046875,3872800000
2019-09-25,1550.6500244140625,1552.93994140625,1530.699951171875,1533.1400146484375,3331200000
2019-09-26,1533.3299560546875,1549.5400390625,1531.0400390625,1549.5400390625,3084910000
2019-09-27,1520.47998046875,1539.3699951171875,1515.6400146484375,1534.1199951171875,3246480000
2019-09-30,1523.3699951171875,1530.6600341796875,1518.3399658203125,1521.489990234375,3249130000
2019-10-01,1493.4300537109375,1539.0899658203125,1491.550048828125,1523.8499755859375,3560750000
2019-10-02,1479.6300048828125,1493.0699462890625,1469.0799560546875,1493.0699462890625,3914180000
2019-10-03,1486.3499755859375,1487.3499755859375,1462.219970703125,1476.43994140625,3515130000
2019-10-04,1500.699951171875,1500.77001953125,1482.02001953125,1486.5699462890625,3005600000
2019-10-07,1497.7900390625,1507.3299560546875,1492.6099853515625,1498.7099609375,2959050000
2019-10-08,1472.5999755859375,1494.6099853515625,1472.550048828125,1494.6099853515625,3370700000
2019-10-09,1479.4599609375,1484.8299560546875,1476.510009765625,1480.0,2735350000
2019-10-10,1485.3599853515625,1491.5699462890625,1480.7099609375,1480.7099609375,3234400000
2019-10-11,1511.9000244140625,1525.8299560546875,1486.9599609375,1486.9599609375,3581320000
2019-10-14,1505.4300537109375,1508.6199951171875,1499.97998046875,1507.3299560546875,2559270000
2019-10-15,1523.300048828125,1528.4200439453125,1507.800048828125,1508.5400390625,3345090000
2019-10-16,1525.06005859375,1529.5999755859375,1520.4100341796875,1521.47998046875,3230320000
2019-10-17,1541.8399658203125,1542.6600341796875,1530.1800537109375,1530.1800537109375,3103470000
2019-10-18,1535.47998046875,1540.719970703125,1525.469970703125,1539.239990234375,3268970000
2019-10-21,1552.4100341796875,1557.02001953125,1541.72998046875,1541.72998046875,3271960000
2019-10-22,1550.8699951171875,1557.8900146484375,1547.31005859375,1550.77001953125,3527540000
2019-10-23,1552.8599853515625,1554.6800537109375,1545.8900146484375,1550.5899658203125,3413600000
2019-10-24,1548.489990234375,1557.3299560546875,1544.8900146484375,1556.5999755859375,3696510000
2019-10-25,1558.7099609375,1562.56005859375,1547.780029296875,1548.989990234375,3379060000
2019-10-28,1571.9300537109375,1576.989990234375,1563.5,1563.5,3524970000
2019-10-29,1577.0699462890625,1581.1300048828125,1569.4599609375,1571.760009765625,3594430000
2019-10-30,1572.8499755859375,1575.6099853515625,1562.050048828125,1575.6099853515625,3779660000
2019-10-31,1562.449951171875,1570.47998046875,1552.8699951171875,1570.18994140625,4149310000
2019-11-01,1589.3299560546875,1589.3299560546875,1569.199951171875,1569.199951171875,3956290000
2019-11-04,1597.4000244140625,1602.06005859375,1593.739990234375,1597.0999755859375,4178040000
2019-11-05,1599.6099853515625,1608.800048828125,1597.9300537109375,1598.93994140625,4490590000
2019-11-06,1589.5400390625,1598.4200439453125,1587.02001953125,1598.4200439453125,4465510000
2019-11-07,1593.989990234375,1607.4100341796875,1590.3299560546875,1598.25,4151990000
2019-11-08,1598.8599853515625,1598.9300537109375,1587.5,1590.9599609375,3508160000
2019-11-11,1594.77001953125,1595.43994140625,1588.31005859375,1592.75,3041120000
2019-11-12,1595.1199951171875,1604.6400146484375,1593.4100341796875,1595.6199951171875,3495560000
2019-11-13,1589.1800537109375,1591.8499755859375,1581.06005859375,1588.2900390625,3513720000
2019-11-14,1588.7900390625,1594.7099609375,1586.6800537109375,1587.3499755859375,3282090000
2019-11-15,1596.449951171875,1598.199951171875,1591.0400390625,1594.06005859375,3359800000
2019-11-18,1592.3399658203125,1594.1099853515625,1588.550048828125,1594.1099853515625,3440140000
2019-11-19,1598.2900390625,1602.9599609375,1592.0400390625,1594.9599609375,3613670000
2019-11-20,1591.6099853515625,1602.7099609375,1581.97998046875,1593.43994140625,4041010000
2019-11-21,1583.9599609375,1595.6099853515625,1581.0400390625,1594.0999755859375,3744010000
2019-11-22,1588.93994140625,1591.31005859375,1581.81005859375,1588.8900146484375,3235270000
2019-11-25,1621.9000244140625,1623.989990234375,1594.489990234375,1594.489990234375,3514310000
2019-11-26,1624.22998046875,1630.280029296875,1619.949951171875,1621.9000244140625,4600450000
2019-11-27,1634.0999755859375,1634.77001953125,1626.800048828125,1626.800048828125,3035470000
2019-11-29,1624.5,1633.5899658203125,1623.9200439453125,1630.1600341796875,1743420000
2019-12-02,1607.5799560546875,1627.3399658203125,1606.6300048828125,1626.56005859375,3285750000
2019-12-03,1602.6300048828125,1603.0799560546875,1589.72998046875,1602.760009765625,3671580000
2019-12-04,1613.9000244140625,1618.3800048828125,1607.6800537109375,1607.6800537109375,3702980000
2019-12-05,1614.8299560546875,1620.8399658203125,1611.800048828125,1617.1700439453125,3360480000
2019-12-06,1633.8399658203125,1637.9000244140625,1620.9200439453125,1620.9200439453125,3483310000
2019-12-09,1629.6199951171875,1636.43994140625,1629.6199951171875,1631.469970703125,3400470000
2019-12-10,1631.7099609375,1633.739990234375,1626.3699951171875,1629.0999755859375,3346310000
2019-12-11,1631.9300537109375,1634.4300537109375,1626.739990234375,1633.4300537109375,3257650000
2019-12-12,1644.81005859375,1654.0699462890625,1629.8599853515625,1631.800048828125,4003200000
2019-12-13,1637.97998046875,1650.18994140625,1632.6500244140625,1643.8299560546875,3757650000
2019-12-16,1649.93994140625,1658.6199951171875,1647.199951171875,1647.199951171875,4070200000
2019-12-17,1657.56005859375,1657.699951171875,1649.6300048828125,1650.5899658203125,3842940000
2019-12-18,1661.72998046875,1663.3900146484375,1654.72998046875,1660.489990234375,4029950000
2019-12-19,1667.0899658203125,1667.22998046875,1660.6199951171875,1662.52001953125,3784360000
2019-12-20,1671.9000244140625,1674.4300537109375,1668.8599853515625,1670.5999755859375,6457480000
2019-12-23,1674.1400146484375,1675.31005859375,1666.18994140625,1673.97998046875,3064530000
2019-12-24,1678.010009765625,1678.0899658203125,1673.739990234375,1676.22998046875,1296530000
2019-12-26,1677.6700439453125,1680.3599853515625,1675.0999755859375,1680.219970703125,2164540000
2019-12-27,1669.030029296875,1681.6800537109375,1666.4300537109375,1681.25,2429150000
2019-12-30,1664.1500244140625,1670.219970703125,1658.050048828125,1669.8800048828125,3021720000
2019-12-31,1668.469970703125,1673.3399658203125,1659.8299560546875,1660.050048828125,2894760000
2020-01-02,1666.77001953125,1678.1400146484375,1653.52001953125,1675.9000244140625,3459930000
2020-01-03,1660.8699951171875,1664.0400390625,1648.5400390625,1655.02001953125,3484700000
2020-01-06,1663.260009765625,1664.8499755859375,1645.510009765625,1650.6600341796875,3702460000
2020-01-07,1658.31005859375,1662.0999755859375,1653.3299560546875,1659.72998046875,3435910000
2020-01-08,1663.5899658203125,1669.2900390625,1658.22998046875,1658.469970703125,3726840000
2020-01-09,1664.989990234375,1671.8199462890625,1663.780029296875,1669.8599853515625,3641230000
2020-01-10,1657.6400146484375,1666.75,1654.010009765625,1665.469970703125,3214580000
2020-01-13,1669.6099853515625,1669.6099853515625,1652.3199462890625,1658.97998046875,3459390000
2020-01-14,1675.739990234375,1684.3399658203125,1662.8599853515625,1668.3900146484375,3687620000
2020-01-15,1682.4000244140625,1688.1199951171875,1673.4000244140625,1673.68994140625,3721490000
2020-01-16,1705.219970703125,1706.1700439453125,1691.8199462890625,1691.8199462890625,3540580000
2020-01-17,1699.6400146484375,1715.0799560546875,1697.68994140625,1712.9300537109375,3726220000
2020-01-21,1685.9000244140625,1695.449951171875,1684.260009765625,1695.449951171875,4104840000
2020-01-22,1684.4599609375,1694.3699951171875,1682.93994140625,1691.0699462890625,3623780000
2020-01-23,1685.010009765625,1687.8499755859375,1666.469970703125,1680.5400390625,3766710000
2020-01-24,1662.22998046875,1689.1500244140625,1653.18994140625,1687.81005859375,3708780000
2020-01-27,1644.1400146484375,1660.8199462890625,1632.260009765625,1660.8199462890625,3831050000
2020-01-28,1658.31005859375,1661.18994140625,1651.1300048828125,1651.1300048828125,3531570000
2020-01-29,1649.219970703125,1663.77001953125,1649.0,1661.0799560546875,3600250000
2020-01-30,1648.219970703125,1648.4300537109375,1630.93994140625,1641.469970703125,3790350000
2020-01-31,1614.06005859375,1643.68994140625,1610.6400146484375,1643.68994140625,4529700000
2020-02-03,1632.2099609375,1636.8800048828125,1618.800048828125,1618.800048828125,3760460000
2020-02-04,1656.77001953125,1661.0,1644.4200439453125,1644.4200439453125,3996900000
2020-02-05,1681.9200439453125,1682.9599609375,1667.3800048828125,1667.949951171875,4121480000
2020-02-06,1677.4599609375,1689.1700439453125,1677.2900390625,1685.43994140625,3887250000
2020-02-07,1656.780029296875,1673.530029296875,1654.31005859375,1673.530029296875,3733920000
2020-02-10,1667.6700439453125,1667.699951171875,1653.6700439453125,1654.9200439453125,3462730000
2020-02-11,1677.510009765625,1686.010009765625,1674.0,1674.5,3762940000
2020-02-12,1689.3800048828125,1690.06005859375,1683.02001953125,1684.3900146484375,3930910000
2020-02-13,1693.739990234375,1696.5400390625,1680.3800048828125,1684.5799560546875,3500890000
2020-02-14,1687.5799560546875,1695.1700439453125,1683.469970703125,1694.8699951171875,3419700000
2020-02-18,1683.52001953125,1687.3800048828125,1674.5999755859375,1686.030029296875,3750400000
2020-02-19,1692.5699462890625,1698.1600341796875,1685.3299560546875,1685.3299560546875,3614200000
2020-02-20,1696.0699462890625,1698.9100341796875,1677.6199951171875,1689.4200439453125,4019180000
2020-02-21,1678.6099853515625,1694.72998046875,1673.199951171875,1694.72998046875,3908780000
2020-02-24,1628.0999755859375,1676.6500244140625,1620.1400146484375,1676.6500244140625,4851160000
2020-02-25,1571.9000244140625,1633.1099853515625,1568.969970703125,1630.8699951171875,5596760000
2020-02-26,1552.760009765625,1588.3199462890625,1551.3900146484375,1572.27001953125,5484650000
2020-02-27,1497.8699951171875,1553.97998046875,1495.8900146484375,1545.25,7064710000
2020-02-28,1476.4300537109375,1496.8299560546875,1448.2099609375,1496.8299560546875,8569570000
2020-03-02,1518.489990234375,1518.510009765625,1463.06005859375,1476.5899658203125,6381330000
2020-03-03,1486.0799560546875,1539.739990234375,1472.739990234375,1518.52001953125,6376510000
2020-03-04,1531.199951171875,1531.199951171875,1494.5799560546875,1500.1500244140625,5073020000
2020-03-05,1478.8199462890625,1522.8499755859375,1462.9200439453125,1522.8499755859375,5579290000
